userid,canceled
182d0607,FALSE
184ea30262bd1d8a6abf,TRUE
188918d3e8d4c123ad19,FALSE
1889e2d1,FALSE
18957473be321fcde12b,FALSE
18ab5e7e78cf810bfc56,FALSE
18cfe394,FALSE
18d604d86ec38d3e8028,FALSE
18f98b16,FALSE
190f14bba7f8472d9083,FALSE
1925ce4f,FALSE
1944f9eec724b0dbb5e7,FALSE
194a085b,FALSE
195bef5b4c283f82a5ff,FALSE
197546b4af184bf7b8dd,FALSE
197d027700ddaafcf5cc,FALSE
19851003d870dd5ecb43,TRUE
19935ec7,TRUE
19ae9cbb5701ac830fb0,TRUE
19bc457ea803f52ce6eb,TRUE
19cca283,FALSE
19fa0ac368ae462ae555,TRUE
19faf330,TRUE
1a04374d,FALSE
1a048f8a,TRUE
1a05595fdaa01c613d2a,TRUE
1a2cd063c53a68655a93,FALSE
1a2e56a58b4dfad5df2e,TRUE
1a56f61a,FALSE
1a75aea3,FALSE
1a7a9a696411f4ccedf8,FALSE
1a7e772e,TRUE
1a85c603d321dd5b3f49,TRUE
1a96703ba8cdf4c16ff0,FALSE
1a97a1065e4ffa720874,TRUE
1a9f9f6d91725e443429,FALSE
1ab991c3763440338ad5,TRUE
1abcc898,TRUE
1ace1ea1b34bfd997373,TRUE
1adea2d6,TRUE
1b02a719d7c772b67049,FALSE
1b1dcf83994b5f3dd268,TRUE
1b2ff701,TRUE
1b376792564d3fe4056e,TRUE
1b3b00341fe0613656a0,FALSE
1b3d5410842575e3e9d3,TRUE
1b7d9ca55732f124fc87,TRUE
1b83b894bacd6e7a6dff,TRUE
1b83e702e10c6be6bd4f,FALSE
1b9bd24be53f542b0608,TRUE
1b9f5991feffa047e59d,TRUE
1ba75a16,FALSE
1ba92e14223e632b32fd,FALSE
1bb153c9,FALSE
1bb791a75df02ec1cc83,TRUE
1bc482ee,TRUE
1c044284,TRUE
1c06e5a2,FALSE
1c282efa,TRUE
1c2f3498a1c344d0f705,FALSE
1c54fa6f5518d81b1cfb,TRUE
1c5bbede,TRUE
1c9b13c0106db3cae202,TRUE
1cc43198ccd84dc77a1a,TRUE
1cc8cb1214a2fa3d0c58,FALSE
1cce36462571c676ee0f,FALSE
1cf67dc99cfbcd0e7544,FALSE
1d07db306bef5890ee69,TRUE
1d09a9568f269d2a2655,TRUE
1d28c8c2d11ad57b6aa1,FALSE
1d4d896ff59dbdc679be,FALSE
1d503bce,FALSE
1d5db88f1de4cef4b107,TRUE
1d66e657440b41494d98,FALSE
1d8d56840ea23512c8c5,FALSE
1da5c380c732b740f742,TRUE
